bioID,useFirst,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race
abdelal01,Alaa,Alaa,,Abdelnaby,,,,,F-C,0,0,82,240,Duke,,24-06-68,Cairo,,EGY,Bloomfield Senior,Bloomfield,NJ,USA,0000-00-00,B
abdulka01,Kareem,Kareem,,Abdul-Jabbar,,"Ferdinand Lewis Alcindor, Jr.",,"Lew, Cap",C,0,0,85,225,UCLA,,16-04-47,New York,NY,USA,Power Memorial,New York,NY,USA,0000-00-00,B
abdulma01,Mahdi,Mahdi,,Abdul-Rahman,,"Walter Raphael Hazzard, Jr.",,Walt,G,0,0,74,185,UCLA,Santa Monica City,15-04-42,Wilmington,DE,USA,Overbrook / Moton,Philadelphia / Easton,PA / MD,USA,18-11-11,B
abdulma02,Mahmoud,Mahmoud,,Abdul-Rauf,,Chris Wayne Jackson,,,G,0,0,73,162,Louisiana State,,09-03-69,Gulfport,MS,USA,Gulfport,Gulfport,MS,USA,0000-00-00,B
abdulta01,Tariq,Tariq,,Abdul-Wahad,,Olivier Michael Saint-Jean,,,G-F,0,0,78,223,San Jose State,Michigan,03-11-74,Maisons Alfort,,FRA,Lycee Aristide Briand,Evreux,,FRA,0000-00-00,B
abdulza01,Zaid,Zaid,,Abdul-Aziz,,Donald A. Smith,,"Don, The Kangaroo",C-F,0,0,81,230,Iowa State,,07-04-46,Brooklyn,NY,USA,John Jay,Brooklyn,NY,USA,0000-00-00,B
ablefo01,Forest,Forest,Edward,Able,,,,Frosty,G,0,0,75,180,Western Kentucky,Louisville,27-07-32,,,,Fairdale,Louisville,KY,USA,0000-00-00,W
abramjo01,John,John,,Abramovic,,,Jr.,Brooms,F,0,0,75,195,Salem,,09-02-19,Etna,PA,USA,Etna,Etna,PA,USA,09-06-00,W
ackeral01,Alex,Alex,,Acker,,,,,G,0,0,77,185,Pepperdine,,21-01-83,Compton,CA,USA,Eisenhower / Cajon,Rialto / San Bernadino,CA,USA,0000-00-00,B
acresma01,Mark,Mark,Richard,Acres,,,,,F-C,0,0,83,220,Oral Roberts,,15-11-62,Inglewood,CA,USA,Palos Verdes,Palos Verdes Estates,CA,USA,0000-00-00,W
